generic_name,brand_name,baseline_price,system_id
Oxycodone/APAP,Percocet,0.45,72189-397
Ticagrelor,Ticagrelor,0.45,0480-2688
Nystatin,Mycostatin,0.45,72189-408
Escitalopram,Escitalopram,0.45,72189-424
Simvastatin,Simvastatin,0.45,72189-427
Sucralfate,Sucralfate,0.45,72189-429
Budesonide and formoterol fumarate dihydrate,Budesonide and formoterol fumarate dihydrate,0.45,0480-3080
Amitriptyline HCL,Amitriptyline HCL,0.45,72189-444
Rizatriptan Benzoate,Rizatriptan Benzoate,0.45,72189-447
Quetiapine Fumarate ER,Quetiapine Fumarate ER,0.45,72189-519
Eltrombopag,ALVAIZ,0.45,0480-3275
Tacrolimus,Tacrolimus,0.45,72189-536
Paclitaxel,Paclitaxel,0.45,0480-3290
Atorvastatin Calcium,Atorvastatin Calcium,0.45,72189-557
Ibuprofen,Ibuprofen,0.45,72189-564
Doxepin HCL,Doxepin HCL,0.45,72189-574
Prednisone,Prednisone,0.45,72189-589
Theophylline,Theophylline,0.45,0480-3309
Indapamide,Indapamide,0.45,72189-591
Tizanidine,Tizanidine,0.45,72189-599
Lidocaine,Lidocaine,0.45,72189-601
Potassium Chloride ER,Potassium Chloride ER,0.45,72189-629
Clarithromycin,Clarithromycin,0.45,72189-639
